classified_lead_name,category,source_count,merged_source_platforms,original_lead_names,evidence_summary,relevance,credibility_judgment,is_ganzhou_urban,strong_cantonese_related,may_still_operate,has_price_rating_review_clue,suitable_for_sample_pool,needs_manual_verify,manual_verify_focus,exclusion_reason,notes
有意思港式茶餐厅（含营角上店线索）,港式茶餐厅型,2,TripAdvisor；大众点评公开图片页,有意思港式茶餐厅；有意思港式茶餐厅营角上店,TripAdvisor显示赣州有有意思港式茶餐厅并有评分线索；大众点评公开图片页显示营角上店和实拍照片入口。,中,有平台记录但信息偏旧且评论量少。,是，赣州市/营角上店线索,是,不明,有，评分线索；评论量少,暂缓，营业状态确认后进入,是,核验是否仍营业、地址、人均、评分、评论量,,
悦之味港式茶餐厅,港式茶餐厅型,1,抖音公开搜索结果,悦之味港式茶餐厅,抖音公开片段提到沙河一家港式茶餐厅，描述含蒸凤爪、金钱肚、鲜虾肠、虾饺皇等。,中,社媒片段，门店名和位置需核验。,疑似是，沙河线索需确认,是,不明,无,暂缓，核验后进入,是,核验门店全名、地址、营业状态、评价与价格,,社媒片段不等于复购。
积堡福港式餐厅,港式茶餐厅型,1,TripAdvisor/搜索结果,积堡福港式餐厅,TripAdvisor赣州中餐列表中出现积堡福港式餐厅。,中,榜单型线索，缺少细节。,待核验,是,不明,无,暂缓，核验后进入,是,核验门店是否存在、地址、营业状态、人均、评论量,,
火啫啫粤式啫啫煲（赣州万象城）,粤菜正餐/顺德菜型,1,360地图公开索引,火啫啫粤式啫啫煲赣州万象城,360地图公开索引显示火啫啫粤式啫啫煲赣州万象城，并在附近列出味庄茶餐厅和悦景酒家。,高,地图索引强相关，但还缺评论与价格。,是，万象城核心商圈,是,不明,无,是，核验后进入,是,核验是否仍营业、是否粤式啫啫煲、菜单价格、评价数量,,
江西赣州旧茶楼港人开的茶楼,社媒讨论线索,1,Instagram公开搜索结果,江西赣州旧茶楼港人开的茶楼,Instagram公开片段显示江西赣州旧茶楼、港人开的茶楼、早茶好吃，并列出叉烧包、烧卖、虾饺、凤爪等菜品和价格片段。,中,社媒片段，不足以作为事实。,待核验,是,不明,有，菜品价格片段,暂缓，确认门店名后进入,是,核验门店名、地址、是否商业推广、价格真实性、是否仍营业,,社媒内容不等于真实复购。
粤香亭赣州早茶线索,社媒讨论线索,1,抖音公开搜索结果,粤香亭赣州早茶线索,抖音公开片段出现赣州粤香亭早茶开档、于都也能吃早茶等描述。,中,社媒片段且地理范围可能不是赣州市区。,待核验，可能涉及于都而非市区,是,不明,无,暂缓，确认属于赣州市区后再进入,是,核验地址、是否赣州市区、是否早茶/顺德菜、是否仍营业,,
食满园广式夜茶线索,社媒讨论线索,1,抖音公开搜索结果,食满园广式夜茶线索,抖音公开片段出现食满园广式夜茶、一百多款点心等描述。,中,社媒片段，需确认是否赣州市区真实门店。,待核验,是,不明,部分，有低价/点心数量片段但不可直接采信,暂缓，核验后进入,是,核验门店名、地址、营业状态、夜茶是否持续、价格真实性,,夜茶线索不能等同长期复购。
赣州粤菜馆地址列表,低相关或待排除线索,1,赣州本地宝,赣州粤菜馆地址列表,赣州本地宝粤菜馆地址列表出现中山名轩、潮香园茶餐厅、木欣百合粤式养生炖品、朋聚轩酒家、广东猪肚鸡等线索。,中,聚合列表可作拆解入口，但不能作为单一门店样本。,部分可能是，需逐项核验,部分相关,不明,无,否，需拆成单店后再判断,是,逐项核验每家门店地址、品类、营业状态、人均、评论量,聚合页不能直接入样本库,暂不排除其中单店，只排除“列表本身”作为样本。
赣州市中餐餐厅榜单,低相关或待排除线索,1,TripAdvisor,赣州市中餐餐厅榜单,TripAdvisor赣州市中餐餐厅列表出现有意思港式茶餐厅和积堡福港式餐厅等条目。,中,榜单可作发现入口，但不能作为门店事实。,部分可能是,部分相关,不明,部分榜单可能有评分线索,否，需拆成单店后再进入,是,逐个门店核验,聚合榜单本身不是样本,
赣州好吃的粤菜地图搜索,低相关或待排除线索,1,百度地图公开索引,赣州好吃的粤菜地图搜索,百度地图公开索引展示赣州好吃的粤菜搜索结果，但可见条目多为客家或其他菜系且相关性混杂。,低,搜索噪音较高。,不确定,否，混杂,不明,无,否,是,仅可作为重新搜索入口,结果混杂，不适合作为样本,
陶陶居品牌对标资料,品牌对标资料,4,品牌公开资料；北京商报；界面新闻；21世纪经济报道,陶陶居；陶陶居北京首店与异地扩张；陶陶居上海扩张与定位；陶陶居逆生长与门店扩张,公开资料显示陶陶居为广州老字号粤菜/茶楼品牌，并有北京、上海等异地扩张、价格和供应链挑战相关资料。,高,品牌资料可信度较高，但只用于对标，不代表赣州需求。,不适用,是,不适用,有，异地门店人均/定位线索,否，进入品牌对标库,否,后续如做品牌适配需补充最新门店和价格资料,不是赣州本地样本,陶陶居需单独判断，不与点都德混同。
点都德品牌对标资料,品牌对标资料,3,公开资料/餐饮媒体；赢商网,点都德；点都德异地扩张与全天茶市；点都德早茶夜酒bistro,公开资料显示点都德是广式早茶/点心茶楼模型代表，强调全天茶市、异地直营扩张和场景创新。,高,品牌资料可信度较高，但只用于对标，不代表赣州需求。,不适用,是,不适用,有，异地扩张和门店数量/场景线索,否，进入品牌对标库,否,后续如做品牌适配需补充最新门店、价格和下沉城市表现,不是赣州本地样本,点都德需单独判断，不与陶陶居混同。
广式早茶品类全国化讨论,品牌对标资料,1,CBNData,广式早茶品类全国化讨论,文章讨论陶陶居、点都德、蔡澜港式点心等品牌外出扩张及早茶品类全国化趋势。,高,行业判断资料，不能直接推导赣州接受度。,不适用,是,不适用,无,否，进入行业背景库,否,,不是赣州本地样本,
广州酒家三城开店,品牌对标资料,1,广州酒家官网,广州酒家三城开店,广州酒家官网企业新闻显示其在广州、深圳、长沙三城开店，并强调广府文化和正宗广式点心。,高,官方品牌扩张资料可信，但不代表赣州需求。,不适用,是,不适用,无,否，进入品牌对标库,否,,不是赣州本地样本,
蔡澜点心品牌扩张资料,品牌对标资料,2,21财经；南方都市报,蔡澜点心全国扩张；蔡澜点心百店策略,公开报道显示蔡澜点心走出广东进入多个城市，强调核心商场、年轻人、一人食和轻社交场景。,高,品牌扩张资料较具体，但不代表赣州需求。,不适用,是,不适用,部分，有门店数量/城市线索,否，进入品牌对标库,否,,不是赣州本地样本,蔡澜点心更接近轻量点心/商场模型，不等同传统茶楼。
广东早茶文化背景,品牌对标资料,1,广州网信办,广东早茶文化背景,文章介绍广州早茶历史、茶楼社交属性和周末饮茶习惯。,中,文化背景可用，但不能推导赣州接受度。,不适用,是,不适用,无,否，进入文化背景库,否,,不是赣州本地样本,
赣州融湾与大湾区联系,低相关或待排除线索,1,人民日报,赣州融湾与大湾区联系,人民日报文章讨论赣州与大湾区、深圳对口合作和宏观交流背景。,低,宏观背景可信，但与具体粤式餐饮供给/需求弱相关。,不适用,否,不适用,无,否,否,,不能证明粤菜消费需求,仅可作为城市背景，不进入餐饮样本。
